sample,peak,sample number
1723,0,908
1725,0,909
1726,0,910
1727,0,911
1726,1,912
1726,0,913
1726,0,914
1726,0,915
1727,0,916
1728,0,917
1730,0,918
1732,0,919
1734,0,920
1736,0,921
1739,0,922
1741,0,923
1744,0,924
1748,0,925
1751,0,926
1754,0,927
1757,0,928
1761,0,929
1764,0,930
1768,0,931
1771,0,932
1774,0,933
1777,0,934
1778,0,935
1778,0,936
1777,0,937
1775,0,938
1773,0,939
1772,0,940
1770,0,941
1769,0,942
1768,0,943
1767,0,944
1765,0,945
1763,0,946
1761,0,947
1759,0,948
1756,0,949
1753,0,950
1750,0,951
1745,0,952
1740,0,953
1734,0,954
1728,0,955
1722,0,956
1716,0,957
1710,0,958
1704,0,959
1698,0,960
1692,0,961
1686,0,962
1680,0,963
1673,0,964
1666,0,965
1658,0,966
1649,0,967
1640,0,968
1631,0,969
1620,0,970
1609,0,971
1599,0,972
1588,0,973
1579,0,974
1571,0,975
1564,0,976
1558,0,977
1553,0,978
1548,0,979
1543,0,980
1538,0,981
1532,0,982
1526,0,983
1520,0,984
1514,0,985
1510,0,986
1506,0,987
1504,0,988
1504,0,989
1505,0,990
1507,0,991
1510,0,992
1512,0,993
1514,0,994
1516,0,995
1517,0,996
1519,0,997
1520,0,998
1521,0,999
1521,0,1000
1522,0,1001
1522,0,1002
1522,0,1003
1522,0,1004
1522,0,1005
1523,0,1006
1524,0,1007
1525,0,1008
1526,0,1009
1527,0,1010
1528,0,1011
1529,0,1012
1531,0,1013
1532,0,1014
1533,0,1015
1535,0,1016
1536,0,1017
1537,0,1018
1537,0,1019
1536,0,1020
1536,0,1021
1536,0,1022
1537,0,1023
1540,0,1024
1543,0,1025
1546,0,1026
1549,0,1027
1552,0,1028
1553,0,1029
1553,0,1030
1553,0,1031
1552,0,1032
1551,0,1033
1551,0,1034
1551,0,1035
1553,0,1036
1554,0,1037
1556,0,1038
1557,0,1039
1558,0,1040
1557,1,1041
1556,0,1042
1554,0,1043
1552,0,1044
1552,0,1045
1552,0,1046
1554,0,1047
1557,0,1048
1561,0,1049
1564,0,1050
1566,0,1051
1566,0,1052
1565,0,1053
1562,0,1054
1559,0,1055
1555,0,1056
1552,0,1057
1549,0,1058
1547,0,1059
1546,0,1060
1546,0,1061
1546,0,1062
1547,0,1063
1548,0,1064
1549,0,1065
1550,0,1066
1552,0,1067
1553,0,1068
1554,0,1069
1556,0,1070
1557,0,1071
1558,0,1072
1559,0,1073
1560,0,1074
1561,0,1075
1563,0,1076
1564,0,1077
1566,0,1078
1567,0,1079
1569,0,1080
1571,0,1081
1573,0,1082
1574,0,1083
1575,0,1084
1575,0,1085
1574,0,1086
1572,0,1087
1570,0,1088
1569,0,1089
1568,0,1090
1569,0,1091
1570,0,1092
1572,0,1093
1574,0,1094
1577,0,1095
1580,0,1096
1582,0,1097
1584,0,1098
1586,0,1099
1586,0,1100
1586,0,1101
1584,0,1102
1582,0,1103
1580,0,1104
1578,0,1105
1577,0,1106
1577,0,1107
1579,0,1108
1582,0,1109
1585,0,1110
1588,0,1111
1590,0,1112
1591,0,1113
1591,0,1114
1591,0,1115
1590,0,1116
1588,0,1117
1587,0,1118
1586,0,1119
1585,0,1120
1585,0,1121
1585,0,1122
1585,0,1123
1585,0,1124
1584,0,1125
1583,0,1126
1582,0,1127
1581,0,1128
1580,0,1129
1580,0,1130
1580,0,1131
1581,0,1132
1583,0,1133
1584,0,1134
1586,0,1135
1587,0,1136
1588,0,1137
1589,0,1138
1591,0,1139
1593,0,1140
1596,0,1141
1599,0,1142
1601,0,1143
1603,0,1144
1604,0,1145
1604,0,1146
1604,0,1147
1603,0,1148
1602,0,1149
1602,0,1150
1602,0,1151
1604,0,1152
1605,0,1153
1607,0,1154
1609,0,1155
1610,0,1156
1611,0,1157
1611,0,1158
1612,0,1159
1612,0,1160
1613,0,1161
1615,0,1162
1618,0,1163
1622,0,1164
1625,0,1165
1628,0,1166
1630,0,1167
1631,0,1168
1630,1,1169
1629,0,1170
1627,0,1171
1626,0,1172
1625,0,1173
1625,0,1174
1626,0,1175
1627,0,1176
1629,0,1177
1630,0,1178
1632,0,1179
1634,0,1180
1637,0,1181
1641,0,1182
1646,0,1183
1652,0,1184
1659,0,1185
1665,0,1186
1671,0,1187
1675,0,1188
1677,0,1189
1677,0,1190
1675,0,1191
1671,0,1192
1665,0,1193
1659,0,1194
1652,0,1195
1646,0,1196
1639,0,1197
1633,0,1198
1627,0,1199
1620,0,1200
1612,0,1201
1603,0,1202
1594,0,1203
1585,0,1204
1577,0,1205
1572,0,1206
1568,0,1207
1568,0,1208
1569,0,1209
1572,0,1210
1576,0,1211
1580,0,1212
1584,0,1213
1586,0,1214
1587,0,1215
1587,0,1216
1586,0,1217
1584,0,1218
1582,0,1219
1580,0,1220
1578,0,1221
1578,0,1222
1579,0,1223
1581,0,1224
1582,0,1225
1583,0,1226
1582,1,1227
1580,0,1228
1577,0,1229
1575,0,1230
1575,0,1231
1576,0,1232
1578,0,1233
1580,0,1234
1581,0,1235
1578,1,1236
1571,0,1237
1559,0,1238
1544,0,1239
1530,0,1240
1522,0,1241
1526,0,1242
1549,0,1243
1597,0,1244
1671,0,1245
1771,0,1246
1892,0,1247
2024,0,1248
2153,0,1249
2266,0,1250
2349,0,1251
2392,0,1252
2388,1,1253
2336,0,1254
2241,0,1255
2107,0,1256
1946,0,1257
1765,0,1258
1577,0,1259
1391,0,1260
1218,0,1261
1068,0,1262
949,0,1263
868,0,1264
829,0,1265
828,0,1266
862,0,1267
921,0,1268
993,0,1269
