FIR_BP_sample,Moving_Averaged_sample,Deriv_sample,peak,sample_number
2087,3123,-94,0,971
1806,3096,-127,0,972
1518,3061,-168,0,973
1240,3019,-217,0,974
989,2972,-272,0,975
778,2926,-329,0,976
619,2883,-387,0,977
516,2845,-442,0,978
472,2817,-492,0,979
482,2799,-536,0,980
537,2790,-570,0,981
624,2788,-595,0,982
729,2788,-612,0,983
839,2785,-624,0,984
943,2774,-631,0,985
1033,2749,-637,0,986
1109,2706,-645,0,987
1172,2644,-657,0,988
1226,2560,-675,0,989
1279,2456,-699,0,990
1334,2337,-729,0,991
1396,2207,-764,0,992
1465,2075,-802,0,993
1537,1948,-840,0,994
1610,1832,-875,0,995
1677,1732,-906,0,996
1733,1652,-932,0,997
1774,1595,-951,0,998
1799,1558,-964,0,999
1808,1540,-973,0,1000
1804,1533,-977,0,1001
1791,1533,-979,0,1002
1773,1532,-980,0,1003
1754,1524,-981,0,1004
1738,1503,-982,0,1005
1726,1466,-982,0,1006
1718,1410,-981,0,1007
1716,1335,-977,0,1008
1717,1244,-970,0,1009
1719,1138,-958,0,1010
1722,1025,-940,0,1011
1725,909,-916,0,1012
1726,796,-884,0,1013
1726,690,-848,0,1014
1726,595,-808,0,1015
1725,516,-767,0,1016
1724,452,-728,0,1017
1725,403,-692,0,1018
1726,370,-661,0,1019
1729,349,-636,0,1020
1732,339,-620,0,1021
1734,335,-609,0,1022
1736,334,-605,0,1023
1737,334,-604,0,1024
1737,332,-604,0,1025
1736,325,-604,0,1026
1733,312,-602,0,1027
1730,295,-593,0,1028
1727,272,-578,0,1029
1725,246,-556,0,1030
1723,217,-526,0,1031
1723,188,-490,0,1032
1724,158,-447,0,1033
1727,129,-402,0,1034
1731,103,-356,0,1035
1736,80,-311,0,1036
1741,62,-268,0,1037
1746,47,-230,0,1038
1750,37,-199,0,1039
1752,29,-173,0,1040
1753,25,-153,0,1041
1752,23,-140,0,1042
1749,22,-131,0,1043
1745,21,-127,0,1044
1740,21,-125,0,1045
1735,22,-125,0,1046
1732,22,-125,0,1047
1730,21,-124,0,1048
1730,21,-121,0,1049
1733,21,-116,0,1050
1738,20,-109,0,1051
1743,20,-100,0,1052
1749,20,-89,0,1053
1755,20,-78,0,1054
1759,20,-66,0,1055
1762,20,-54,0,1056
1763,21,-42,0,1057
1763,21,-32,0,1058
1762,22,-23,0,1059
1761,22,-16,0,1060
1761,23,-10,0,1061
1763,23,-6,0,1062
1766,23,-3,0,1063
1772,23,-2,0,1064
1778,24,-2,0,1065
1785,24,-2,0,1066
1793,24,-2,0,1067
1799,24,-2,0,1068
1805,24,-3,0,1069
1809,24,-3,0,1070
1811,24,-3,0,1071
1812,24,-3,0,1072
1811,24,-4,0,1073
1809,24,-3,0,1074
1806,24,-3,0,1075
1804,24,-3,0,1076
1802,24,-3,0,1077
1801,23,-3,0,1078
1801,23,-3,0,1079
1803,22,-3,0,1080
1805,21,-3,0,1081
