#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:39:39.188
#Sample rate: 511.999Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-1.89062984,2078,1,1,0,1
-1.88867671,2047,1,1,0,1
-1.88672358,2018,1,1,0,1
-1.88477045,1986,1,1,0,1
-1.88281732,1953,1,1,0,1
-1.88086419,1923,1,1,0,1
-1.87891106,1897,1,1,0,1
-1.87695793,1877,1,1,0,1
-1.8750048,1860,1,1,0,1
-1.87305167,1847,1,1,0,1
-1.87109854,1842,1,1,0,1
-1.86914541,1839,1,1,0,1
-1.86719228,1838,1,1,0,1
-1.86523915,1838,1,1,0,1
-1.86328602,1838,1,0,0,1
-1.86133289,1840,0,0,0,0
-1.85937976,1792,0,1,0,0
-1.85742663,0,0,1,1,0
-1.8554735,1854,1,1,0,1
-1.85352037,1865,1,1,0,1
-1.85156724,1869,1,1,0,1
-1.84961411,1870,1,1,0,1
-1.84766098,1870,1,1,0,1
-1.84570785,1869,1,1,0,1
-1.84375472,1867,1,1,0,1
-1.84180159,1865,1,1,0,1
-1.83984846,1866,1,1,0,1
-1.83789533,1871,1,1,0,1
-1.8359422,1878,1,1,0,1
-1.83398907,1885,1,1,0,1
-1.83203594,1892,1,1,0,1
-1.83008281,1898,1,1,0,1
-1.82812968,1907,1,1,0,1
-1.82617655,1918,1,1,0,1
-1.82422342,1935,1,1,0,1
-1.82227029,1951,1,1,0,1
-1.82031716,1962,1,1,0,1
-1.81836403,1966,1,1,0,1
-1.8164109,1970,1,1,0,1
-1.81445777,1973,1,1,0,1
-1.81250464,1982,1,1,0,1
-1.81055151,2011,1,1,0,1
-1.80859838,2076,1,1,0,1
-1.80664525,2179,1,1,0,1
-1.80469212,2323,1,1,0,1
-1.80273899,2514,1,1,0,1
-1.80078586,2751,1,1,0,1
-1.79883273,3042,1,1,0,1
-1.7968796,3380,1,1,0,1
-1.79492647,3746,1,1,0,1
-1.79297334,4030,1,1,0,1
-1.79102021,4059,1,1,0,1
-1.78906708,4061,1,1,0,1
-1.78711395,4062,1,1,0,1
-1.78516082,4061,1,1,0,1
-1.78320769,4061,1,1,0,1
-1.78125456,4003,1,1,0,1
-1.77930143,3781,1,1,0,1
-1.7773483,3424,0,0,0,0
-1.77539517,2048,0,1,0,0
-1.77344204,0,0,1,1,0
-1.77148891,2449,1,1,0,1
-1.76953578,1838,1,1,0,1
-1.76758265,1196,1,1,0,1
-1.76562952,569,1,1,0,1
-1.76367639,68,1,1,0,1
-1.76172326,3,1,1,0,1
-1.75977013,0,1,1,0,1
-1.757817,0,1,1,0,1
-1.75586387,0,1,1,0,1
-1.75391074,0,1,1,0,1
-1.75195761,0,1,1,0,1
-1.75000448,0,1,1,0,1
-1.74805135,0,1,1,0,1
-1.74609822,0,1,1,0,1
-1.74414509,0,1,1,0,1
-1.74219196,0,1,1,0,1
-1.74023883,0,1,1,0,1
-1.7382857,10,1,1,0,1
-1.73633257,102,1,1,0,1
-1.73437944,263,1,1,0,1
-1.73242631,475,1,1,0,1
-1.73047318,725,1,1,0,1
-1.72852005,994,1,1,0,1
-1.72656692,1263,1,1,0,1
-1.72461379,1521,1,1,0,1
-1.72266066,1756,1,1,0,1
-1.72070753,1963,1,1,0,1
-1.7187544,2141,1,1,0,1
-1.71680127,2285,1,1,0,1
-1.71484814,2399,1,1,0,1
-1.71289501,2487,1,1,0,1
-1.71094188,2554,1,1,0,1
-1.70898875,2602,1,1,0,1
-1.70703562,2631,1,1,0,1
-1.70508249,2646,1,1,0,1
-1.70312936,2652,1,1,0,1
-1.70117623,2650,1,1,0,1
-1.6992231,2642,1,1,0,1
-1.69726997,2631,1,1,0,1
-1.69531684,2618,0,1,0,0
-1.69336371,2560,0,0,0,0
-1.69141058,0,0,1,0,0
-1.68945745,0,0,1,1,0
-1.68750432,2565,1,1,0,1
-1.68555119,2547,1,1,0,1
-1.68359806,2532,1,1,0,1
-1.68164493,2519,1,1,0,1
-1.6796918,2509,1,1,0,1
-1.67773867,2498,1,1,0,1
-1.67578554,2490,1,1,0,1
-1.67383241,2486,1,1,0,1
-1.67187928,2484,1,1,0,1
-1.66992615,2483,1,1,0,1
